timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1731425006422,2,HTTP Request,200,,Users 1-71,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006422,1,HTTP Request-0,302,,Users 1-71,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,1,0,0
1731425006423,1,HTTP Request-1,200,,Users 1-71,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006423,4,HTTP Request,200,,Users 1-72,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,2,0,1
1731425006423,2,HTTP Request-0,302,,Users 1-72,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,2,0,1
1731425006425,2,HTTP Request-1,200,,Users 1-72,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006426,2,HTTP Request,200,,Users 1-70,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006426,1,HTTP Request-0,302,,Users 1-70,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,1,0,0
1731425006427,1,HTTP Request-1,200,,Users 1-70,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006427,2,HTTP Request,200,,Users 1-72,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006427,1,HTTP Request-0,302,,Users 1-72,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,1,0,0
1731425006428,1,HTTP Request-1,200,,Users 1-72,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006428,3,HTTP Request,200,,Users 1-73,text,true,,4221,271,5,5,http://localhost:9494/VehicleRegistration/,2,0,1
1731425006428,2,HTTP Request-0,302,,Users 1-73,,true,,168,135,5,5,http://localhost:9494/VehicleRegistration,2,0,1
1731425006430,1,HTTP Request-1,200,,Users 1-73,text,true,,4053,136,5,5,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006431,3,HTTP Request,200,,Users 1-73,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006431,1,HTTP Request-0,302,,Users 1-73,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,1,0,0
1731425006433,1,HTTP Request-1,200,,Users 1-73,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006433,5,HTTP Request,200,,Users 1-74,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,3,0,2
1731425006433,3,HTTP Request-0,302,,Users 1-74,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,3,0,2
1731425006436,2,HTTP Request-1,200,,Users 1-74,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006438,3,HTTP Request,200,,Users 1-74,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006438,1,HTTP Request-0,302,,Users 1-74,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,1,0,0
1731425006440,1,HTTP Request-1,200,,Users 1-74,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006436,7,HTTP Request,200,,Users 1-75,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,4,0,1
1731425006436,4,HTTP Request-0,302,,Users 1-75,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,4,0,1
1731425006440,3,HTTP Request-1,200,,Users 1-75,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,3,0,0
1731425006444,3,HTTP Request,200,,Users 1-75,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006444,1,HTTP Request-0,302,,Users 1-75,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,1,0,0
1731425006445,2,HTTP Request-1,200,,Users 1-75,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006443,7,HTTP Request,200,,Users 1-76,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,2,0,1
1731425006443,2,HTTP Request-0,302,,Users 1-76,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,2,0,1
1731425006448,2,HTTP Request-1,200,,Users 1-76,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006446,5,HTTP Request,200,,Users 1-77,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,4,0,2
1731425006446,4,HTTP Request-0,302,,Users 1-77,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,4,0,2
1731425006450,1,HTTP Request-1,200,,Users 1-77,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006450,2,HTTP Request,200,,Users 1-76,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006450,1,HTTP Request-0,302,,Users 1-76,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,1,0,0
1731425006451,1,HTTP Request-1,200,,Users 1-76,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006451,3,HTTP Request,200,,Users 1-77,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006451,1,HTTP Request-0,302,,Users 1-77,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,1,0,0
1731425006452,2,HTTP Request-1,200,,Users 1-77,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006452,5,HTTP Request,200,,Users 1-78,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,4,0,2
1731425006452,4,HTTP Request-0,302,,Users 1-78,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,4,0,2
1731425006456,1,HTTP Request-1,200,,Users 1-78,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006458,2,HTTP Request,200,,Users 1-78,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,0,0,0
1731425006458,0,HTTP Request-0,302,,Users 1-78,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,0,0,0
1731425006459,1,HTTP Request-1,200,,Users 1-78,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006457,4,HTTP Request,200,,Users 1-80,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,3,0,2
1731425006457,3,HTTP Request-0,302,,Users 1-80,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,3,0,2
1731425006460,1,HTTP Request-1,200,,Users 1-80,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006456,6,HTTP Request,200,,Users 1-79,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,2,0,1
1731425006456,2,HTTP Request-0,302,,Users 1-79,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,2,0,1
1731425006459,3,HTTP Request-1,200,,Users 1-79,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,3,0,0
1731425006462,2,HTTP Request,200,,Users 1-80,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006462,1,HTTP Request-0,302,,Users 1-80,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,1,0,0
1731425006463,1,HTTP Request-1,200,,Users 1-80,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006462,5,HTTP Request,200,,Users 1-79,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,3,0,0
1731425006462,3,HTTP Request-0,302,,Users 1-79,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,3,0,0
1731425006466,1,HTTP Request-1,200,,Users 1-79,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006463,6,HTTP Request,200,,Users 1-81,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,3,0,2
1731425006463,3,HTTP Request-0,302,,Users 1-81,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,3,0,2
1731425006466,3,HTTP Request-1,200,,Users 1-81,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006469,4,HTTP Request,200,,Users 1-82,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,3,0,1
1731425006470,3,HTTP Request,200,,Users 1-81,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006469,3,HTTP Request-0,302,,Users 1-82,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,3,0,1
1731425006470,2,HTTP Request-0,302,,Users 1-81,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,2,0,0
1731425006472,1,HTTP Request-1,200,,Users 1-82,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006472,1,HTTP Request-1,200,,Users 1-81,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006474,3,HTTP Request,200,,Users 1-82,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006474,1,HTTP Request-0,302,,Users 1-82,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,1,0,0
1731425006475,2,HTTP Request-1,200,,Users 1-82,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006470,10,HTTP Request,200,,Users 1-83,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,6,0,3
1731425006470,6,HTTP Request-0,302,,Users 1-83,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,6,0,3
1731425006476,4,HTTP Request-1,200,,Users 1-83,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,4,0,0
1731425006480,3,HTTP Request,200,,Users 1-83,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006480,1,HTTP Request-0,302,,Users 1-83,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,1,0,0
1731425006481,2,HTTP Request-1,200,,Users 1-83,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006478,8,HTTP Request,200,,Users 1-84,text,true,,4221,271,5,5,http://localhost:9494/VehicleRegistration/,4,0,2
1731425006478,4,HTTP Request-0,302,,Users 1-84,,true,,168,135,5,5,http://localhost:9494/VehicleRegistration,4,0,2
1731425006482,4,HTTP Request-1,200,,Users 1-84,text,true,,4053,136,5,5,http://localhost:9494/VehicleRegistration/,4,0,0
1731425006486,4,HTTP Request,200,,Users 1-84,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006488,4,HTTP Request,200,,Users 1-85,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,3,0,2
1731425006488,3,HTTP Request-0,302,,Users 1-85,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,3,0,2
1731425006491,1,HTTP Request-1,200,,Users 1-85,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006493,3,HTTP Request,200,,Users 1-85,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006493,1,HTTP Request-0,302,,Users 1-85,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,1,0,0
1731425006495,1,HTTP Request-1,200,,Users 1-85,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006486,1,HTTP Request-0,302,,Users 1-84,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,1,0,0
1731425006488,2,HTTP Request-1,200,,Users 1-84,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006498,4,HTTP Request,200,,Users 1-86,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,3,0,2
1731425006498,3,HTTP Request-0,302,,Users 1-86,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,3,0,2
1731425006501,1,HTTP Request-1,200,,Users 1-86,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006503,2,HTTP Request,200,,Users 1-86,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006503,1,HTTP Request-0,302,,Users 1-86,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,1,0,0
1731425006504,1,HTTP Request-1,200,,Users 1-86,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006500,8,HTTP Request,200,,Users 1-88,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,6,0,5
1731425006500,6,HTTP Request-0,302,,Users 1-88,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,6,0,5
1731425006506,2,HTTP Request-1,200,,Users 1-88,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006509,2,HTTP Request,200,,Users 1-88,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006509,1,HTTP Request-0,302,,Users 1-88,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,1,0,0
1731425006510,1,HTTP Request-1,200,,Users 1-88,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006508,6,HTTP Request,200,,Users 1-87,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,5,0,3
1731425006508,5,HTTP Request-0,302,,Users 1-87,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,5,0,3
1731425006513,1,HTTP Request-1,200,,Users 1-87,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006515,3,HTTP Request,200,,Users 1-87,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006515,1,HTTP Request-0,302,,Users 1-87,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,1,0,0
1731425006516,2,HTTP Request-1,200,,Users 1-87,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006515,10,HTTP Request,200,,Users 1-89,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,7,0,6
1731425006515,7,HTTP Request-0,302,,Users 1-89,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,7,0,6
1731425006522,3,HTTP Request-1,200,,Users 1-89,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,3,0,0
1731425006523,5,HTTP Request,200,,Users 1-90,text,true,,4221,271,8,8,http://localhost:9494/VehicleRegistration/,3,0,1
1731425006523,3,HTTP Request-0,302,,Users 1-90,,true,,168,135,8,8,http://localhost:9494/VehicleRegistration,3,0,1
1731425006526,2,HTTP Request-1,200,,Users 1-90,text,true,,4053,136,8,8,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006528,3,HTTP Request,200,,Users 1-90,text,true,,4221,271,8,8,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006528,1,HTTP Request-0,302,,Users 1-90,,true,,168,135,8,8,http://localhost:9494/VehicleRegistration,1,0,0
1731425006530,1,HTTP Request-1,200,,Users 1-90,text,true,,4053,136,8,8,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006526,9,HTTP Request,200,,Users 1-89,text,true,,4221,271,7,7,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006526,1,HTTP Request-0,302,,Users 1-89,,true,,168,135,7,7,http://localhost:9494/VehicleRegistration,1,0,0
1731425006533,2,HTTP Request-1,200,,Users 1-89,text,true,,4053,136,7,7,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006529,10,HTTP Request,200,,Users 1-91,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,8,0,2
1731425006529,8,HTTP Request-0,302,,Users 1-91,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,8,0,2
1731425006538,1,HTTP Request-1,200,,Users 1-91,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006540,3,HTTP Request,200,,Users 1-91,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006540,1,HTTP Request-0,302,,Users 1-91,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,1,0,0
1731425006541,2,HTTP Request-1,200,,Users 1-91,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006546,4,HTTP Request,200,,Users 1-93,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,3,0,2
1731425006537,13,HTTP Request,200,,Users 1-92,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,8,0,3
1731425006546,3,HTTP Request-0,302,,Users 1-93,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,3,0,2
1731425006537,8,HTTP Request-0,302,,Users 1-92,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,8,0,3
1731425006549,1,HTTP Request-1,200,,Users 1-93,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006549,1,HTTP Request-1,200,,Users 1-92,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006551,2,HTTP Request,200,,Users 1-93,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006551,2,HTTP Request,200,,Users 1-92,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006551,1,HTTP Request-0,302,,Users 1-93,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,1,0,0
1731425006551,1,HTTP Request-0,302,,Users 1-92,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,1,0,0
1731425006552,1,HTTP Request-1,200,,Users 1-93,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006552,1,HTTP Request-1,200,,Users 1-92,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006556,3,HTTP Request,200,,Users 1-95,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,2,0,1
1731425006556,2,HTTP Request-0,302,,Users 1-95,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,2,0,1
1731425006558,1,HTTP Request-1,200,,Users 1-95,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006557,6,HTTP Request,200,,Users 1-94,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,4,0,3
1731425006557,4,HTTP Request-0,302,,Users 1-94,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,4,0,3
1731425006560,3,HTTP Request,200,,Users 1-95,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006561,2,HTTP Request-1,200,,Users 1-94,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006560,2,HTTP Request-0,302,,Users 1-95,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,2,0,0
1731425006562,1,HTTP Request-1,200,,Users 1-95,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006563,3,HTTP Request,200,,Users 1-94,text,true,,4221,271,5,5,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006563,2,HTTP Request-0,302,,Users 1-94,,true,,168,135,5,5,http://localhost:9494/VehicleRegistration,2,0,0
1731425006565,1,HTTP Request-1,200,,Users 1-94,text,true,,4053,136,5,5,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006569,5,HTTP Request,200,,Users 1-97,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,3,0,2
1731425006569,3,HTTP Request-0,302,,Users 1-97,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,3,0,2
1731425006573,1,HTTP Request-1,200,,Users 1-97,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006574,3,HTTP Request,200,,Users 1-97,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006574,1,HTTP Request-0,302,,Users 1-97,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,1,0,0
1731425006575,2,HTTP Request-1,200,,Users 1-97,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006574,5,HTTP Request,200,,Users 1-96,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,3,0,2
1731425006574,3,HTTP Request-0,302,,Users 1-96,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,3,0,2
1731425006577,2,HTTP Request-1,200,,Users 1-96,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006579,3,HTTP Request,200,,Users 1-96,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006579,1,HTTP Request-0,302,,Users 1-96,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,1,0,0
1731425006580,2,HTTP Request-1,200,,Users 1-96,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006579,3,HTTP Request,200,,Users 1-98,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,2,0,1
1731425006579,2,HTTP Request-0,302,,Users 1-98,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,2,0,1
1731425006581,1,HTTP Request-1,200,,Users 1-98,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006583,4,HTTP Request,200,,Users 1-98,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006583,1,HTTP Request-0,302,,Users 1-98,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,1,0,0
1731425006585,2,HTTP Request-1,200,,Users 1-98,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006586,6,HTTP Request,200,,Users 1-100,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,4,0,2
1731425006586,4,HTTP Request-0,302,,Users 1-100,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,4,0,2
1731425006590,2,HTTP Request-1,200,,Users 1-100,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006590,3,HTTP Request,200,,Users 1-99,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,2,0,1
1731425006590,2,HTTP Request-0,302,,Users 1-99,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,2,0,1
1731425006592,1,HTTP Request-1,200,,Users 1-99,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006594,2,HTTP Request,200,,Users 1-99,text,true,,4221,271,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006594,1,HTTP Request-0,302,,Users 1-99,,true,,168,135,6,6,http://localhost:9494/VehicleRegistration,1,0,0
1731425006595,1,HTTP Request-1,200,,Users 1-99,text,true,,4053,136,6,6,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006592,6,HTTP Request,200,,Users 1-100,text,true,,4221,271,5,5,http://localhost:9494/VehicleRegistration/,3,0,0
1731425006592,3,HTTP Request-0,302,,Users 1-100,,true,,168,135,5,5,http://localhost:9494/VehicleRegistration,3,0,0
1731425006595,3,HTTP Request-1,200,,Users 1-100,text,true,,4053,136,5,5,http://localhost:9494/VehicleRegistration/,3,0,0
1731425006151,451,HTTP Request,200,,Users 1-56,text,true,,4221,271,4,4,http://localhost:9494/VehicleRegistration/,85,0,4
1731425006151,85,HTTP Request-0,302,,Users 1-56,,true,,168,135,4,4,http://localhost:9494/VehicleRegistration,85,0,4
1731425006236,366,HTTP Request-1,200,,Users 1-56,text,true,,4053,136,4,4,http://localhost:9494/VehicleRegistration/,366,0,0
1731425006603,4,HTTP Request,200,,Users 1-56,text,true,,4221,271,4,4,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006603,2,HTTP Request-0,302,,Users 1-56,,true,,168,135,4,4,http://localhost:9494/VehicleRegistration,2,0,0
1731425006605,2,HTTP Request-1,200,,Users 1-56,text,true,,4053,136,4,4,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006172,443,HTTP Request,200,,Users 1-66,text,true,,4221,271,3,3,http://localhost:9494/VehicleRegistration/,442,0,1
1731425006172,442,HTTP Request-0,302,,Users 1-66,,true,,168,135,3,3,http://localhost:9494/VehicleRegistration,442,0,1
1731425006614,1,HTTP Request-1,200,,Users 1-66,text,true,,4053,136,3,3,http://localhost:9494/VehicleRegistration/,1,0,0
1731425005784,834,HTTP Request,200,,Users 1-24,text,true,,4221,271,3,3,http://localhost:9494/VehicleRegistration/,454,0,87
1731425005784,454,HTTP Request-0,302,,Users 1-24,,true,,168,135,3,3,http://localhost:9494/VehicleRegistration,454,0,87
1731425006238,380,HTTP Request-1,200,,Users 1-24,text,true,,4053,136,3,3,http://localhost:9494/VehicleRegistration/,380,0,0
1731425006616,3,HTTP Request,200,,Users 1-66,text,true,,4221,271,3,3,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006616,1,HTTP Request-0,302,,Users 1-66,,true,,168,135,3,3,http://localhost:9494/VehicleRegistration,1,0,0
1731425006617,2,HTTP Request-1,200,,Users 1-66,text,true,,4053,136,3,3,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006618,5,HTTP Request,200,,Users 1-24,text,true,,4221,271,2,2,http://localhost:9494/VehicleRegistration/,3,0,0
1731425006618,3,HTTP Request-0,302,,Users 1-24,,true,,168,135,2,2,http://localhost:9494/VehicleRegistration,3,0,0
1731425006622,1,HTTP Request-1,200,,Users 1-24,text,true,,4053,136,2,2,http://localhost:9494/VehicleRegistration/,1,0,0
1731425006170,455,HTTP Request,200,,Users 1-64,text,true,,4221,271,1,1,http://localhost:9494/VehicleRegistration/,78,0,1
1731425006170,78,HTTP Request-0,302,,Users 1-64,,true,,168,135,1,1,http://localhost:9494/VehicleRegistration,78,0,1
1731425006248,377,HTTP Request-1,200,,Users 1-64,text,true,,4053,136,1,1,http://localhost:9494/VehicleRegistration/,377,0,0
1731425006625,4,HTTP Request,200,,Users 1-64,text,true,,4221,271,1,1,http://localhost:9494/VehicleRegistration/,2,0,0
1731425006625,2,HTTP Request-0,302,,Users 1-64,,true,,168,135,1,1,http://localhost:9494/VehicleRegistration,2,0,0
1731425006627,2,HTTP Request-1,200,,Users 1-64,text,true,,4053,136,1,1,http://localhost:9494/VehicleRegistration/,2,0,0
